"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Mazda","CX-9 Touring",2022,6580,2.5,"Four-wheel Drive",3,0,0,8,36789
"Alfa","Romeo Stelvio 4DR SUV AWD",2018,62717,2.9,"Four-wheel Drive",3,0,0,10,39993
"Mitsubishi","Outlander Sport 2.0 SE",2021,36727,2,"Front-wheel Drive",3,0,1,7,21595
"Kia","Carnival LXS",2022,43705,3.5,"Front-wheel Drive",4,0,1,10,34000
"Audi","SQ5 3.0T Premium",2022,5922,3,"Four-wheel Drive",3,0,1,5,49495
"Honda","Pilot Special Edition",2021,51299,3.5,"Four-wheel Drive",3.5,0,1,13,35999
"Jeep","Grand Cherokee Altitude",2019,36120,3.6,"Four-wheel Drive",2.5,0,0,9,33995
"Mercedes-Benz","GL-Class GL 450 4MATIC",2014,79279,4.7,"Four-wheel Drive",3.5,0,0,9,22349
"Mitsubishi","Outlander Sport SE",2021,31976,2,"Four-wheel Drive",3.5,0,1,3,19499
"Porsche","968",1994,92025,3,"Rear-wheel Drive",3,1,0,1,12960
"MINI","Hardtop Cooper",2016,43418,1.5,"Front-wheel Drive",5,0,0,5,16500
"Land","Rover Range Rover Velar S",2020,23358,2,"Four-wheel Drive",2.5,0,0,9,46477
"Land","Rover Range Rover Sport Supercharged HSE",2016,57361,3,"Four-wheel Drive",3,1,0,10,33695
"Nissan","Sentra SV",2017,61872,1.8,"Front-wheel Drive",5.5,1,0,5,11999
"Jeep","Grand Cherokee Altitude",2018,88138,3.6,"Rear-wheel Drive",3,1,0,7,23990
"Mazda","CX-3 Touring",2017,42142,2,"Four-wheel Drive",4.5,1,0,6,18994
"Alfa","Romeo Stelvio Ti",2019,20444,2,"Four-wheel Drive",4,1,0,9,32472
"Kia","Niro LXS",2020,20247,1.6,"Front-wheel Drive",5.5,0,1,6,22995
"Jaguar","F-PACE SVR",2023,4385,5,"Four-wheel Drive",2.5,0,1,11,89977
"Kia","Sorento X-Line EX",2022,5964,2.5,"Four-wheel Drive",3,0,1,12,40735
"MINI","Convertible John Cooper Works",2018,20226,2,"Front-wheel Drive",4.5,0,1,6,28491
"Audi","A8 L 3.0T",2016,94487,3,"Four-wheel Drive",5,0,0,6,22995
"Jeep","Grand Cherokee Limited",2018,71726,3.6,"Four-wheel Drive",3.5,0,0,12,26180
"Toyota","Avalon Limited",2022,9980,3.5,"Front-wheel Drive",4.5,0,1,10,42900
"BMW","X3 M40i",2018,30245,3,"Four-wheel Drive",3.5,0,1,11,39750
"Porsche","911 GT3",2022,3651,4,"Rear-wheel Drive",4,0,1,9,279995
"FIAT","124 Spider Abarth",2019,7154,1.4,"Rear-wheel Drive",4.5,0,0,8,33871
"Chevrolet","Tahoe High Country",2022,28174,6.2,"Four-wheel Drive",2.5,0,1,13,74223
"MINI","Hardtop Cooper",2023,1787,1.5,"Front-wheel Drive",4,0,1,7,29977
"Nissan","Titan S",2017,92973,5.6,"Rear-wheel Drive",4.5,0,0,4,18900
"Lexus","NX 200t F Sport",2017,40687,2,"Four-wheel Drive",3,0,0,6,30789
"MINI","Countryman Cooper S ALL4",2015,87429,1.6,"Four-wheel Drive",5,0,0,6,14592
"Volvo","XC90 T6 Momentum",2018,117775,2,"Four-wheel Drive",5.5,0,0,14,23995
"Hyundai","Tucson Limited",2018,43291,1.6,"Four-wheel Drive",4,0,0,9,24582
"Maserati","Levante Trofeo",2021,12075,3.8,"Four-wheel Drive",3,0,1,10,109900
"Volvo","S90 T5 Momentum",2017,60989,2,"Front-wheel Drive",4,0,0,9,25604
"Alfa","Romeo Giulia Ti",2019,17004,2,"Four-wheel Drive",3,0,1,11,29619
"Mazda","CX-5 Grand Touring",2016,133906,2.5,"Four-wheel Drive",3,0,0,7,15634
"Jeep","Cherokee Latitude",2017,73014,2.4,"Four-wheel Drive",2.5,0,1,4,18675
"Volvo","XC90 B6 Plus 7-Seater",2023,5999,2,"Four-wheel Drive",2.5,0,0,9,64553
"Porsche","911 Carrera 4S",2022,4850,3,"Four-wheel Drive",2,0,0,10,165900
"Jaguar","XK R",2012,54574,5,"Rear-wheel Drive",5.5,0,0,6,30990
"Nissan","Pathfinder SV",2018,59314,3.5,"Four-wheel Drive",4.5,1,0,8,22995
"Alfa","Romeo Giulia Ti",2017,55362,2,"Rear-wheel Drive",3,0,0,8,20600
"MINI","Cooper S Countryman Base",2012,95559,1.6,"Four-wheel Drive",5.5,0,0,2,12995
"MINI","Countryman John Cooper Works ALL4",2019,33353,2,"Four-wheel Drive",4.5,0,0,6,34988
"Cadillac","XT4 Premium Luxury",2019,10435,2,"Front-wheel Drive",4.5,0,1,9,33256
"Lexus","NX 350 F SPORT Handling",2022,6484,2.4,"Four-wheel Drive",5,0,1,5,52647
"FIAT","500 Sport",2013,129287,1.4,"Front-wheel Drive",4.5,1,0,3,6838
"Cadillac","Escalade Premium",2016,89175,6.2,"Four-wheel Drive",2.5,0,0,11,36463
"Nissan","NV Cargo NV2500 HD SV V6/SV V8",2021,18106,4,"Rear-wheel Drive",3.5,0,1,4,43990
"Audi","Q5 3.2 Premium",2010,87572,3.2,"Four-wheel Drive",2.5,1,0,3,12985
"BMW","228 Gran Coupe i xDrive",2020,26052,2,"Four-wheel Drive",5,0,1,8,32329
"Volvo","XC60 T6 Momentum",2019,41152,2,"Four-wheel Drive",4,0,0,12,34980
"Volkswagen","Golf GTI 2.0T Autobahn",2022,14036,2,"Front-wheel Drive",4.5,0,1,9,38588
"Audi","Q5 2.0T Premium Plus",2017,89654,2,"Four-wheel Drive",3.5,1,1,10,19989
"FIAT","500C Lounge",2015,82978,1.4,"Front-wheel Drive",4.5,1,0,2,9999
"Honda","Civic EX",2022,13712,1.5,"Front-wheel Drive",4.5,0,1,11,25900
"Audi","Q3 45 S line Premium Plus",2020,48813,2,"Four-wheel Drive",4,0,1,11,30991
"Land","Rover Discovery Landmark Edition",2020,27448,3,"Four-wheel Drive",2.5,0,1,10,50762
"BMW","840 i",2023,7652,3,"Rear-wheel Drive",3.5,0,1,9,79998
"Chevrolet","Blazer RS",2021,35492,3.6,"Front-wheel Drive",3.5,0,1,10,37511
"Honda","Insight Touring",2019,6954,1.5,"Front-wheel Drive",3,0,1,13,26760
"Ford","Bronco Raptor",2022,6400,3,"Four-wheel Drive",0.5,0,1,8,102995
"Honda","Accord Crosstour EX-L",2010,173228,3.5,"Front-wheel Drive",4.5,1,0,8,9495
"Ford","Explorer XLT",2021,30634,2.3,"Four-wheel Drive",3.5,0,1,10,37546
"FIAT","500L Trekking",2014,43896,1.4,"Front-wheel Drive",4,0,1,4,12745
"BMW","M340 i",2022,2437,3,"Rear-wheel Drive",4.5,0,1,9,53500
"Toyota","Tundra Grade",2011,90460,5.7,"Four-wheel Drive",2,0,1,8,21990
"Maserati","Levante GranLusso",2019,26756,3,"Four-wheel Drive",4,0,1,7,51830
"Lexus","NX 200t Base",2015,152520,2,"Four-wheel Drive",3,0,0,8,17390
"Jaguar","F-PACE S",2019,36140,3,"Four-wheel Drive",3.5,0,1,7,46998
"Porsche","Cayenne Turbo S",2018,51779,4.8,"Four-wheel Drive",2.5,0,1,10,73895
"Chevrolet","Silverado 1500 2LT",2014,64099,5.3,"Four-wheel Drive",3,0,0,6,21999
"Alfa","Romeo Stelvio Ti",2018,54408,2,"Four-wheel Drive",3,0,0,8,26788
"Mitsubishi","Outlander Sport ES",2021,34159,2,"Four-wheel Drive",3,1,0,3,18980
"Mercedes-Benz","CLS 450 Base",2020,19955,3,"Rear-wheel Drive",5,0,1,10,55551
"Toyota","Tundra SR5",2022,3376,3.5,"Rear-wheel Drive",2.5,0,1,8,42990
"Audi","A7 3.0T Prestige",2018,69419,3,"Four-wheel Drive",4.5,1,0,10,31796
"Land","Rover LR4 HSE",2012,117000,5,"Four-wheel Drive",2.5,1,0,9,14500
"Nissan","Frontier Desert Runner",2016,54644,4,"Rear-wheel Drive",2.5,1,0,2,20494
"Lexus","RX 350 F Sport",2019,51422,3.5,"Four-wheel Drive",4,0,0,8,38789
"Jeep","Wrangler Unlimited Sahara",2019,37110,2,"Four-wheel Drive",2.5,0,1,8,39500
"Volkswagen","Taos 1.5T SE",2022,14625,1.5,"Four-wheel Drive",3.5,0,1,10,29000
"Jaguar","F-TYPE R",2016,30374,5,"Four-wheel Drive",3.5,1,0,8,53900
"Lexus","IS 250 Base",2014,54397,2.5,"Four-wheel Drive",1.5,1,1,8,25490
"Toyota","Tundra Platinum",2018,79893,5.7,"Four-wheel Drive",2,0,1,9,40990
"Honda","Pilot Touring 8-Passenger",2020,51639,3.5,"Four-wheel Drive",3.5,0,1,14,36327
"Jaguar","XF S",2016,69226,3,"Rear-wheel Drive",4,1,0,8,24998
"Toyota","Corolla Hatchback SE",2022,14518,2,"Front-wheel Drive",4.5,0,1,7,25299
"Toyota","Tacoma TRD Pro",2021,21838,3.5,"Four-wheel Drive",2,0,1,11,50901
"Maserati","Quattroporte S Q4",2018,36475,3,"Four-wheel Drive",5,1,0,13,44995
"MINI","Cooper Base (M5)",2004,157952,1.6,"Front-wheel Drive",4.5,0,0,1,3995
"FIAT","500X Pop",2019,25357,1.3,"Four-wheel Drive",3,0,1,7,21998
"FIAT","124 Spider Lusso",2017,26899,1.4,"Rear-wheel Drive",4.5,0,0,7,21992
"Maserati","Ghibli Base",2017,56708,3,"Rear-wheel Drive",4,1,0,11,27790
"Mazda","Mazda6 i Touring",2014,62820,2.5,"Front-wheel Drive",3.5,1,1,5,14990
"MINI","Cooper",2010,81161,1.6,"Front-wheel Drive",3.5,0,1,2,8995
"Porsche","718 Cayman GT4",2022,725,4,"Rear-wheel Drive",2.5,0,1,5,159995
"Jeep","Wrangler Unlimited Sport",2017,29331,3.6,"Four-wheel Drive",4,0,0,1,30280
"Lexus","NX 300h Base",2019,18786,2.5,"Four-wheel Drive",1.5,1,1,10,34595
"Kia","Optima Hybrid EX",2016,38106,2.4,"Front-wheel Drive",4,1,0,8,15498
"Toyota","Tundra SR5",2019,39180,5.7,"Four-wheel Drive",2,0,0,6,49900
"FIAT","500 Pop",2014,75312,1.4,"Front-wheel Drive",4.5,0,0,2,8995
"Mitsubishi","Outlander Sport 2.0 ES",2020,29768,2,"Four-wheel Drive",3.5,0,1,4,20288
"Lexus","NX 350 Premium",2022,1799,2.4,"Four-wheel Drive",2.5,0,1,5,49998
"FIAT","500 Pop",2015,68149,1.4,"Front-wheel Drive",4.5,1,0,2,8995
"Nissan","Titan PRO-4X",2020,31480,5.6,"Four-wheel Drive",3,0,1,11,43990
"Mercedes-Benz","E-Class E 300",2019,28699,2,"Four-wheel Drive",3,1,0,9,37182
"Mercedes-Benz","Maybach S 650 Base",2019,30254,6,"Rear-wheel Drive",4.5,0,0,9,121995
"Jeep","Cherokee Latitude",2017,55377,2.4,"Front-wheel Drive",3.5,1,0,6,19994
"Nissan","Sentra S",2019,20466,1.8,"Front-wheel Drive",2.5,0,1,5,17990
"Volkswagen","Golf R 2.0T w/DCC & Navigation",2018,36286,2,"Four-wheel Drive",3,1,1,7,35000
"Volkswagen","Tiguan 2.0T SE",2021,23625,2,"Front-wheel Drive",4.5,0,1,9,25993
"Volkswagen","Golf GTI 2.0T S 4-Door",2018,34910,2,"Front-wheel Drive",2,0,1,7,26499
"Jaguar","XF 20d R-Sport",2018,111044,2,"Rear-wheel Drive",5,1,0,6,20980
"Chevrolet","Tahoe LT",2013,104571,5.3,"Four-wheel Drive",3,1,0,7,17995
"Toyota","Prius XLE",2020,29153,1.8,"Four-wheel Drive",2,0,1,11,29159
"Porsche","Macan Base",2019,15046,2,"Four-wheel Drive",3.5,0,1,7,45431
"Porsche","Panamera S",2014,49295,3,"Rear-wheel Drive",1.5,1,0,6,33942
"Lexus","RX 350L Premium",2019,35187,3.5,"Front-wheel Drive",3.5,0,1,10,38496
"Volvo","S60 T6 Momentum",2019,35584,2,"Four-wheel Drive",5.5,0,1,11,27590
"Audi","Q3 45 S line Premium",2023,1692,2,"Four-wheel Drive",4,0,1,7,46499
"Lexus","RX 450h Base",2020,39805,3.5,"Four-wheel Drive",4.5,0,1,8,49747
"Jeep","Grand Cherokee Altitude",2015,101938,3.6,"Four-wheel Drive",4,0,0,6,19422
"Jaguar","F-PACE S",2021,14881,3,"Four-wheel Drive",2.5,0,1,9,52988
"Volvo","XC40 B5 Plus Bright Theme",2023,4791,2,"Four-wheel Drive",4.5,0,1,10,39867
"Cadillac","CTS-V Base",2019,29638,6.2,"Rear-wheel Drive",3.5,0,0,8,76995
"Jaguar","F-PACE S",2018,70822,3,"Four-wheel Drive",4.5,1,0,10,30000
"Mazda","CX-30 Turbo",2021,17309,2.5,"Four-wheel Drive",4,0,1,11,28806
"Lexus","UX 250h F Sport",2021,24696,2,"Four-wheel Drive",1.5,0,1,9,37571
"Mitsubishi","Outlander Sport ES",2017,56200,2,"Front-wheel Drive",3,0,1,3,18998
"FIAT","124 Spider Classica",2017,59858,1.4,"Rear-wheel Drive",4.5,0,0,4,20474
"Audi","A5 2.0T Prestige",2021,15029,2,"Four-wheel Drive",3.5,0,0,10,41995
"Lexus","GX 460 Base",2021,5119,4.6,"Four-wheel Drive",3,0,1,10,56175
"Toyota","Highlander Platinum",2021,26553,3.5,"Four-wheel Drive",3.5,0,1,13,46479
"Volvo","S60 Recharge Plug-In Hybrid T8 Inscription",2022,12463,2,"Four-wheel Drive",5.5,0,1,11,47322
"Honda","Pilot Touring",2023,1820,3.5,"Four-wheel Drive",3,0,0,13,50988
"Maserati","Levante S",2017,78350,3,"Four-wheel Drive",4.5,0,0,7,36995
"Volvo","XC90 T6 Momentum 6 Passenger",2020,25501,2,"Four-wheel Drive",5,1,1,13,42065
"Mitsubishi","Outlander GT",2018,57605,3,"Four-wheel Drive",3,0,0,10,20980
"Jaguar","XF 35t Prestige",2016,105229,3,"Four-wheel Drive",4.5,1,0,10,21995
"Land","Rover Discovery SE",2019,36915,3,"Four-wheel Drive",2.5,0,1,8,40505
"Audi","Q3 40 Premium",2021,57701,2,"Four-wheel Drive",4,0,0,10,26445
"Mazda","CX-9 Carbon Edition",2023,4314,2.5,"Four-wheel Drive",5,0,1,0,40341
"Toyota","4Runner TRD Off Road Premium",2019,57608,4,"Four-wheel Drive",1.5,0,1,8,41995
"Mazda","CX-50 2.5 Turbo Premium Plus Package",2023,9936,2.5,"Four-wheel Drive",3,0,1,8,39609
"Land","Rover Range Rover 3.0L V6 Supercharged",2019,42733,3,"Four-wheel Drive",2.5,0,1,10,58880
