brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Mazda,CX-9 Touring,2022.0,6580.0,2.5,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,0.0,1.0,1.0,8.0,Black,Snowflake White Pearl,36789
Alfa,Romeo Stelvio 4DR SUV AWD,2018.0,62717.0,2.9,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,1.0,0.0,10.0,Black,Rosso Competizione Tri-Coat,39993
Mitsubishi,Outlander Sport 2.0 SE,2021.0,36727.0,2.0,CVT,1.0,Gasoline,Front-wheel Drive,3.0,0.0,1.0,0.0,0.0,1.0,7.0,Black,White,21595
Kia,Carnival LXS,2022.0,43705.0,3.5,8,1.0,Gasoline,Front-wheel Drive,4.0,0.0,1.0,0.0,0.0,1.0,10.0,Gray,Silky Silver,34000
Audi,SQ5 3.0T Premium,2022.0,5922.0,3.0,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,0.0,1.0,1.0,5.0,Black,Florett Silver Metallic,49495
Honda,Pilot Special Edition,2021.0,51299.0,3.5,9,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,13.0,Black,Modern Steel Metallic,35999
Jeep,Grand Cherokee Altitude,2019.0,36120.0,3.6,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,9.0,Black,Granite Crystal Clearcoat Metallic,33995
Mercedes-Benz,GL-Class GL 450 4MATIC,2014.0,79279.0,4.7,7,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,1.0,1.0,1.0,9.0,Black,Obsidian Black Metallic,22349
Mitsubishi,Outlander Sport SE,2021.0,31976.0,2.0,CVT,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,0.0,0.0,0.0,3.0,Gray,Silver,19499
Porsche,968,1994.0,92025.0,3.0,6,1.0,Gasoline,Rear-wheel Drive,3.0,1.0,0.0,0.0,0.0,1.0,1.0,Saddle,White,12960
MINI,Hardtop Cooper,2016.0,43418.0,1.5,6,1.0,Gasoline,Front-wheel Drive,5.0,0.0,0.0,0.0,1.0,1.0,5.0,Carbon Black,Electric Blue Metallic,16500
Land,Rover Range Rover Velar S,2020.0,23358.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,9.0,Light Oyster / Ebony,Santorini Black,46477
Land,Rover Range Rover Sport Supercharged HSE,2016.0,57361.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,1.0,0.0,1.0,10.0,Almond / Espresso / Ivory,Fuji White,33695
Nissan,Sentra SV,2017.0,61872.0,1.8,CVT,1.0,Gasoline,Front-wheel Drive,5.5,1.0,0.0,1.0,0.0,0.0,5.0,Black,Silver,11999
Jeep,Grand Cherokee Altitude,2018.0,88138.0,3.6,8,1.0,Gasoline,Rear-wheel Drive,3.0,1.0,0.0,1.0,0.0,1.0,7.0,Black,Bright White Clearcoat,23990
Mazda,CX-3 Touring,2017.0,42142.0,2.0,6,1.0,Gasoline,Four-wheel Drive,4.5,1.0,0.0,0.0,0.0,1.0,6.0,Black,Meteor Gray Mica,18994
Alfa,Romeo Stelvio Ti,2019.0,20444.0,2.0,8,1.0,Gasoline,Four-wheel Drive,4.0,1.0,0.0,0.0,1.0,1.0,9.0,Black,Rosso,32472
Kia,Niro LXS,2020.0,20247.0,1.6,6,1.0,Hybrid,Front-wheel Drive,5.5,0.0,1.0,1.0,0.0,1.0,6.0,Gray,Snow White Pearl,22995
Jaguar,F-PACE SVR,2023.0,4385.0,5.0,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,11.0,Ebony/Ebony/Light Oyster,Fuji White,89977
Kia,Sorento X-Line EX,2022.0,5964.0,2.5,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,12.0,Gray,Passion Red Tintcoat,40735
MINI,Convertible John Cooper Works,2018.0,20226.0,2.0,6,1.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,6.0,Black,Midnight Black Metallic,28491
Audi,A8 L 3.0T,2016.0,94487.0,3.0,8,1.0,Gasoline,Four-wheel Drive,5.0,0.0,0.0,1.0,0.0,1.0,6.0,Black,Black,22995
Jeep,Grand Cherokee Limited,2018.0,71726.0,3.6,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,12.0,Black,Diamond Black,26180
